start_timestamp,end_timestamp,x,y
1744745625.6977766,1744745625.6977766,0.1396443024277687,0.2119064405560493
1744745625.896927,1744745625.896927,0.1424639150500297,0.2134871408343315
1744745626.0303202,1744745626.0467584,0.1422462873160839,0.19578649103641504
1744745626.096728,1744745626.096728,0.144274540245533,0.1965619847178459
1744745626.230549,1744745626.247025,,
1744745626.346639,1744745626.346639,0.1407112404704094,0.177718736231327
1744745626.4466035,1744745626.4466035,0.1400781124830246,0.1727878674864769
1744745626.4802303,1744745626.496849,,
1744745626.913808,1744745626.9630282,,
1744745627.0635672,1744745627.1304145,,
1744745627.396873,1744745627.4134166,,
1744745627.5138123,1744745627.530479,,
1744745627.6803834,1744745627.6803834,0.8047632575035095,0.0993431769311428
1744745627.7296906,1744745627.8803875,,
1744745628.030614,1744745628.1135478,,
1744745628.146795,1744745628.16392,,
1744745628.546631,1744745628.6139336,,
1744745628.7455888,1744745628.8636866,,
1744745628.9131403,1744745628.9306672,,
1744745629.0136874,1744745629.029971,,
1744745629.1122715,1744745629.230158,,
1744745629.3138864,1744745629.330206,,
1744745629.3965876,1744745629.4135818,,
1744745629.4467015,1744745629.4641323,,
1744745629.5963635,1744745629.647617,,
1744745629.730129,1744745629.746791,,
1744745629.8468175,1744745629.9141214,,
1744745629.9634628,1744745629.9970243,,
1744745630.0804422,1744745630.21356,,
1744745630.2628362,1744745630.39662,,
1744745630.729325,1744745630.8475225,,
1744745630.9633474,1744745631.0300117,,
1744745631.0635636,1744745631.080372,,
1744745631.1134975,1744745631.1635587,,
1744745631.196806,1744745631.2136955,,
1744745631.263455,1744745631.330427,,
1744745631.4140165,1744745631.430577,,
1744745631.5136569,1744745631.530695,,
1744745631.5799105,1744745631.6302855,,
1744745631.7305026,1744745631.7471943,,
1744745631.8968012,1744745631.8968012,0.8029897212982178,0.09951863437891
1744745631.929695,1744745631.9463708,,
1744745631.9964902,1744745632.013612,0.8028879761695862,0.10359442234039304
1744745632.0631838,1744745632.2804265,,
1744745632.7634764,1744745632.798134,,
1744745632.8472855,1744745633.0469837,,
1744745633.2799037,1744745633.3305006,,
1744745633.4796803,1744745633.4965389,,
1744745633.714358,1744745633.714358,0.7952013611793518,0.0808730106800794
1744745633.796708,1744745633.796708,0.7911013066768646,0.0814456567168235
1744745633.846494,1744745633.863494,,
1744745634.0296504,1744745634.047659,,
1744745634.0966733,1744745634.1635995,,
1744745634.3117297,1744745634.4463985,,
1744745634.56398,1744745634.580505,,
1744745634.6640608,1744745634.6805604,,
1744745634.9805827,1744745635.0139463,,
1744745635.0640926,1744745635.0800714,,
1744745635.114451,1744745635.147417,,
1744745635.2474003,1744745635.2638783,,
1744745635.313387,1744745635.329709,,
1744745635.3627915,1744745635.614049,,
1744745635.8475049,1744745635.8475049,0.8461352586746216,0.1183109171688556
1744745636.2137232,1744745636.2307267,,
1744745636.2634578,1744745636.2804852,,
1744745636.3136308,1744745636.597756,,
1744745636.646597,1744745636.7134435,,
