Frame ID,Hand ID,Hand Type,Palm Position X,Palm Position Y,Palm Position Z,Hand Shape,TipPosition X,TipPosition Y,TipPosition Z,PointDirection X,PointDirection Y,PointDirection Z,Intersection X,Intersection Y,Intersection Z
2132,5,left,-92.626045,245.283737,-13.012434,Index-Point,-134.481262,259.302856,-65.298935,-21.127625,23.326706,-37.596760,-284.354797,424.776062,-332.000000
2133,5,left,-92.491386,245.365295,-13.045950,Index-Point,-134.341125,259.462372,-65.355103,-21.126236,23.380630,-37.601009,-284.156311,425.264465,-332.000000
2134,5,left,-92.358871,245.413498,-13.077830,Index-Point,-134.222153,259.561676,-65.420509,-21.147179,23.417877,-37.618515,-284.079346,425.509888,-332.000000
2135,5,left,-92.321732,245.470200,-13.081086,Index-Point,-134.128952,259.757690,-65.431175,-21.073105,23.502777,-37.613899,-283.473572,426.321320,-332.000000
2136,5,left,-92.321106,245.564102,-13.091166,Index-Point,-134.099518,259.870911,-65.466705,-21.045319,23.512543,-37.629467,-283.165619,426.412598,-332.000000
2137,5,left,-92.398338,245.643784,-13.141919,Index-Point,-134.167938,259.958588,-65.518578,-21.048515,23.527756,-37.629330,-283.228210,426.576233,-332.000000
2138,5,left,-92.502335,245.688278,-13.188836,Index-Point,-134.287506,259.938171,-65.647461,-21.069687,23.465347,-37.710106,-283.106079,425.677673,-332.000000
2139,5,left,-92.639656,245.749283,-13.256154,Index-Point,-134.472076,259.899933,-65.821808,-21.127998,23.377319,-37.813904,-283.195496,424.456665,-332.000000
2140,5,left,-92.812843,245.784698,-13.317792,Index-Point,-134.671356,259.875824,-65.986351,-21.156593,23.318268,-37.915714,-283.104340,423.474945,-332.000000
2141,5,left,-93.040863,245.865356,-13.382819,Index-Point,-134.968140,259.863739,-66.166725,-21.228722,23.226562,-38.032448,-283.349365,422.209167,-332.000000
2142,5,left,-93.271133,245.915359,-13.423712,Index-Point,-135.223709,259.858826,-66.288895,-21.254707,23.172165,-38.115761,-283.393707,421.395721,-332.000000
2143,5,left,-93.516029,245.994186,-13.443640,Index-Point,-135.482361,259.921326,-66.356995,-21.267525,23.154526,-38.166332,-283.507324,421.080078,-332.000000
2144,5,left,-93.779915,246.107910,-13.418832,Index-Point,-135.781403,260.032684,-66.367897,-21.300888,23.150253,-38.206104,-283.878143,420.987366,-332.000000
2145,5,left,-94.035728,246.264023,-13.373640,Index-Point,-136.115417,260.148590,-66.413269,-21.376038,23.103104,-38.298393,-284.351196,420.361023,-332.000000
2146,5,left,-94.282547,246.444717,-13.330963,Index-Point,-136.412201,260.260498,-66.414787,-21.426308,23.036240,-38.344662,-284.816437,419.815552,-332.000000
2147,5,left,-94.489578,246.635223,-13.271422,Index-Point,-136.707123,260.329102,-66.413780,-21.520180,22.928986,-38.404602,-285.529480,418.894012,-332.000000
2148,5,left,-94.645279,246.846756,-13.222603,Index-Point,-137.013382,260.330505,-66.446388,-21.685204,22.749603,-38.480637,-286.662262,417.324768,-332.000000
2149,5,left,-94.778137,247.090424,-13.155493,Index-Point,-137.255692,260.337677,-66.561401,-21.802048,22.530518,-38.660439,-286.946289,415.029907,-332.000000
2150,5,left,-94.869728,247.354446,-13.068577,Index-Point,-137.487228,260.475586,-66.593933,-21.950264,22.419739,-38.776215,-287.727081,413.928772,-332.000000
2151,5,left,-94.931725,247.691605,-12.975921,Index-Point,-137.591202,260.734863,-66.599876,-21.998688,22.354401,-38.870438,-287.794159,413.366577,-332.000000
2152,5,left,-94.947205,248.049210,-12.889745,Index-Point,-137.647964,261.076935,-66.512566,-22.049278,22.352310,-38.861282,-288.281342,413.780518,-332.000000
2153,5,left,-94.921257,248.437683,-12.814212,Index-Point,-137.668152,261.416138,-66.495247,-22.104134,22.309265,-38.908348,-288.503479,413.651245,-332.000000
2154,5,left,-94.837601,248.794540,-12.708190,Index-Point,-137.659286,261.753723,-66.520912,-22.179428,22.281235,-39.025150,-288.540833,413.327820,-332.000000
2155,5,left,-94.713318,249.167099,-12.570729,Index-Point,-137.585968,262.080383,-66.541939,-22.224487,22.209778,-39.163803,-288.226837,412.621552,-332.000000
2156,5,left,-94.600769,249.521133,-12.455915,Index-Point,-137.496719,262.404236,-66.576675,-22.236176,22.128830,-39.295986,-287.690186,411.872620,-332.000000
2157,5,left,-94.511581,249.873138,-12.405637,Index-Point,-137.401245,262.762360,-66.533134,-22.218864,22.091858,-39.289558,-287.526917,412.029907,-332.000000
2158,5,left,-94.425980,250.231369,-12.381369,Index-Point,-137.310974,263.106537,-66.542145,-22.205551,22.048523,-39.313786,-287.249146,411.984436,-332.000000
2159,5,left,-94.314522,250.556107,-12.321722,Index-Point,-137.195099,263.417755,-66.568733,-22.186447,21.989273,-39.389305,-286.702087,411.596069,-332.000000
2160,5,left,-94.193336,250.890839,-12.274693,Index-Point,-137.090927,263.737030,-66.615158,-22.190338,21.943512,-39.466652,-286.304993,411.291351,-332.000000
2161,5,left,-94.066887,251.239487,-12.213973,Index-Point,-136.975098,264.054657,-66.707977,-22.184975,21.863373,-39.600189,-285.598053,410.523132,-332.000000
2162,5,left,-93.914619,251.572739,-12.129337,Index-Point,-136.845856,264.343628,-66.787880,-22.194656,21.775253,-39.742218,-284.957672,409.656647,-332.000000
2163,5,left,-93.735893,251.872452,-12.050888,Index-Point,-136.691727,264.609863,-66.825829,-22.208008,21.703690,-39.839012,-284.511414,409.072723,-332.000000
2164,5,left,-93.564697,252.158951,-11.978041,Index-Point,-136.565002,264.838470,-66.943520,-22.242172,21.599701,-40.013008,-283.902893,407.920471,-332.000000
2165,5,left,-93.405991,252.457977,-11.898035,Index-Point,-136.449036,265.095215,-66.964348,-22.274727,21.520340,-40.094521,-283.691010,407.350494,-332.000000
